date;symbol;open;high;low;close
06/07/2021 00:00;BTC/USD;3373076;3510049;3351058;3424409
05/07/2021 00:00;BTC/USD;3525500;3525870;3314300;3370421
04/07/2021 00:00;BTC/USD;3467208;3596000;3440429;3528921
03/07/2021 00:00;BTC/USD;3381046;3495972;3333310;3468830
02/07/2021 00:00;BTC/USD;3353711;3398151;3270005;3381156
01/07/2021 00:00;BTC/USD;3505971;3507134;3270088;3356421
30/06/2021 00:00;BTC/USD;3590005;3609982;3404936;3503723
29/06/2021 00:00;BTC/USD;3449442;3662379;3424000;3590793
28/06/2021 00:00;BTC/USD;3471602;3535713;3387823;3448711
27/06/2021 00:00;BTC/USD;3229398;3477294;3201582;3469950
26/06/2021 00:00;BTC/USD;3159595;3271446;3008279;3226938
25/06/2021 00:00;BTC/USD;3465268;3551722;3127102;3159775
24/06/2021 00:00;BTC/USD;3369399;3528900;3231437;3464932
23/06/2021 00:00;BTC/USD;3254757;3500000;3167089;3365228
22/06/2021 00:00;BTC/USD;3162883;3331585;2860000;3254526
21/06/2021 00:00;BTC/USD;3559866;3576380;3123869;3163416
20/06/2021 00:00;BTC/USD;3549470;3612500;3333700;3558977
19/06/2021 00:00;BTC/USD;3584918;3644000;3471821;3550706
18/06/2021 00:00;BTC/USD;3811025;3820868;3514368;3584000
17/06/2021 00:00;BTC/USD;3836138;3955305;3735000;3809768
16/06/2021 00:00;BTC/USD;4016693;4050659;3809541;3835399
15/06/2021 00:00;BTC/USD;4054419;4134157;3952647;4017147
14/06/2021 00:00;BTC/USD;3903552;4105000;3875840;4053279
13/06/2021 00:00;BTC/USD;3556366;3938643;3478390;3901376
12/06/2021 00:00;BTC/USD;3733891;3744555;3463000;3554276
11/06/2021 00:00;BTC/USD;3672497;3768065;3595849;3734111
10/06/2021 00:00;BTC/USD;3741464;3844624;3582469;3670754
09/06/2021 00:00;BTC/USD;3341319;3755625;3242372;3740000
08/06/2021 00:00;BTC/USD;3356751;3408561;3102500;3341169
07/06/2021 00:00;BTC/USD;3581069;3680830;3332109;3358262
06/06/2021 00:00;BTC/USD;3553259;3651058;3525000;3580885
05/06/2021 00:00;BTC/USD;3685158;3792793;3484965;3553214
04/06/2021 00:00;BTC/USD;3924294;3927736;3557667;3688732
03/06/2021 00:00;BTC/USD;3758512;3949000;3717606;3921988
02/06/2021 00:00;BTC/USD;3669330;3825630;3593319;3758936
01/06/2021 00:00;BTC/USD;3727989;3792744;3569998;3669330
31/05/2021 00:00;BTC/USD;3567530;3754096;3419520;3734141
30/05/2021 00:00;BTC/USD;3464409;3651699;3342500;3567772
29/05/2021 00:00;BTC/USD;3569136;3734801;3365000;3463208
28/05/2021 00:00;BTC/USD;3857850;3890512;3471023;3569246
27/05/2021 00:00;BTC/USD;3929946;4042947;3721290;3850347
26/05/2021 00:00;BTC/USD;3838587;4090400;3785974;3930956
25/05/2021 00:00;BTC/USD;3884836;4000000;3648685;3839772
24/05/2021 00:00;BTC/USD;3473535;3996000;3442621;3883986
23/05/2021 00:00;BTC/USD;3747434;3831174;3110746;3470679
22/05/2021 00:00;BTC/USD;3731843;3888799;3526000;3750054
21/05/2021 00:00;BTC/USD;4056613;4229789;3352000;3733516
20/05/2021 00:00;BTC/USD;3679339;4300000;3500000;4064090
19/05/2021 00:00;BTC/USD;4290085;4360163;3006600;3678043
18/05/2021 00:00;BTC/USD;4358127;4587205;4202369;4287775
17/05/2021 00:00;BTC/USD;4644642;4664850;4210000;4359339
16/05/2021 00:00;BTC/USD;4675340;4980000;4376940;4644475
15/05/2021 00:00;BTC/USD;4988389;5071093;4644853;4670889
14/05/2021 00:00;BTC/USD;4971164;5157200;4887569;4988043
13/05/2021 00:00;BTC/USD;4941944;5142072;4570000;4969496
12/05/2021 00:00;BTC/USD;5676370;5802126;4853000;4938656
11/05/2021 00:00;BTC/USD;5585443;5697233;5450000;5676370
10/05/2021 00:00;BTC/USD;5833616;5960300;5350000;5588072
09/05/2021 00:00;BTC/USD;5896489;5930062;5625600;5830524
08/05/2021 00:00;BTC/USD;5737102;5956424;5697750;5898475
07/05/2021 00:00;BTC/USD;5642582;5874385;5528811;5738173
06/05/2021 00:00;BTC/USD;5751708;5842083;5528300;5644739
05/05/2021 00:00;BTC/USD;5322175;5797662;5292450;5750993
04/05/2021 00:00;BTC/USD;5722764;5725085;5308069;5323684
03/05/2021 00:00;BTC/USD;5659991;5900000;5650000;5722237
02/05/2021 00:00;BTC/USD;5789301;5796701;5606451;5662266
01/05/2021 00:00;BTC/USD;5779066;5854900;5704963;5785191
30/04/2021 00:00;BTC/USD;5358593;5800800;5308715;5777527
29/04/2021 00:00;BTC/USD;5489845;5523933;5237990;5359397
28/04/2021 00:00;BTC/USD;5509473;5650000;5381149;5490197
27/04/2021 00:00;BTC/USD;5401532;5551937;5332575;5509139
26/04/2021 00:00;BTC/USD;4912275;5440478;4882301;5407341
25/04/2021 00:00;BTC/USD;5012634;5060894;4700420;4912843
24/04/2021 00:00;BTC/USD;5117777;5122738;4871334;5011894
23/04/2021 00:00;BTC/USD;5169398;5213134;4755500;5117665
22/04/2021 00:00;BTC/USD;5382348;5549180;5045001;5168395
21/04/2021 00:00;BTC/USD;5649302;5685000;5362879;5380624
20/04/2021 00:00;BTC/USD;5569455;5711900;5340000;5650319
19/04/2021 00:00;BTC/USD;5626083;5763300;5425288;5569455
18/04/2021 00:00;BTC/USD;6004882;6043381;5154116;5628060
17/04/2021 00:00;BTC/USD;6143623;6259648;5967667;6003229
16/04/2021 00:00;BTC/USD;6324724;6358040;6004204;6143624
15/04/2021 00:00;BTC/USD;6295420;6385537;6199890;6323919
14/04/2021 00:00;BTC/USD;6360569;6489522;6132700;6298609
13/04/2021 00:00;BTC/USD;5981487;6376900;5978000;6356448
12/04/2021 00:00;BTC/USD;5997226;6123456;5936111;5983166
11/04/2021 00:00;BTC/USD;5977319;6067900;5916515;5997926
10/04/2021 00:00;BTC/USD;5812902;6122222;5787000;5976693
09/04/2021 00:00;BTC/USD;5806618;5889025;5765743;5810956
08/04/2021 00:00;BTC/USD;5591238;5814549;5568040;5809660
07/04/2021 00:00;BTC/USD;5802490;5866800;5544193;5593283
06/04/2021 00:00;BTC/USD;5913536;5947390;5721600;5801830
05/04/2021 00:00;BTC/USD;5821369;5928000;5680000;5912500
04/04/2021 00:00;BTC/USD;5706413;5850100;5646625;5821218
03/04/2021 00:00;BTC/USD;5896761;5980139;5692200;5706442
02/04/2021 00:00;BTC/USD;5874400;6010304;5845000;5900360
01/04/2021 00:00;BTC/USD;5878996;5949000;5793542;5872853
31/03/2021 00:00;BTC/USD;5876775;5981617;5671345;5878258
30/03/2021 00:00;BTC/USD;5762366;5938866;5701100;5876059
29/03/2021 00:00;BTC/USD;5579028;5840268;5489242;5760010
28/03/2021 00:00;BTC/USD;5581785;5657304;5467751;5579092
27/03/2021 00:00;BTC/USD;5508126;5668615;5394835;5583942
26/03/2021 00:00;BTC/USD;5129265;5511486;5126338;5508137
25/03/2021 00:00;BTC/USD;5228177;5327159;5036000;5132611
24/03/2021 00:00;BTC/USD;5436007;5720733;5163876;5228752
23/03/2021 00:00;BTC/USD;5411771;5586644;5293303;5436157
22/03/2021 00:00;BTC/USD;5741054;5846178;5371500;5407092
21/03/2021 00:00;BTC/USD;5807287;5863252;5550000;5738179
20/03/2021 00:00;BTC/USD;5802994;5995700;5781561;5813839
19/03/2021 00:00;BTC/USD;5764801;5945095;5627934;5807200
18/03/2021 00:00;BTC/USD;5893973;6008325;5700000;5764805
17/03/2021 00:00;BTC/USD;5692838;5896880;5412400;5890180
16/03/2021 00:00;BTC/USD;5561642;5695000;5322100;5690834
15/03/2021 00:00;BTC/USD;5895690;6059513;5455500;5564437
14/03/2021 00:00;BTC/USD;6117703;6170000;5895957;5901639
13/03/2021 00:00;BTC/USD;5729767;6178183;5608096;6116519
12/03/2021 00:00;BTC/USD;5784792;5809850;5501100;5727104
11/03/2021 00:00;BTC/USD;5591809;5815599;5426900;5777209
10/03/2021 00:00;BTC/USD;5492729;5740289;5301000;5585229
09/03/2021 00:00;BTC/USD;5242780;5493926;5185700;5492902
08/03/2021 00:00;BTC/USD;5095255;5242780;4931698;5242780
07/03/2021 00:00;BTC/USD;4893312;5147753;4893312;5096730
06/03/2021 00:00;BTC/USD;4877467;4920000;4708229;4890463
05/03/2021 00:00;BTC/USD;4835309;4947124;4629400;4873921
04/03/2021 00:00;BTC/USD;5037605;5181754;4750000;4836050
03/03/2021 00:00;BTC/USD;4843800;5265282;4816845;5037968
02/03/2021 00:00;BTC/USD;4964189;5025000;4706952;4851635
01/03/2021 00:00;BTC/USD;4526156;4983152;4502025;4962933
28/02/2021 00:00;BTC/USD;4614210;4665988;4302100;4524096
27/02/2021 00:00;BTC/USD;4632415;4836531;4505000;4610998
26/02/2021 00:00;BTC/USD;4707018;4847662;4415197;4631483
25/02/2021 00:00;BTC/USD;4971513;5207916;4672300;4708858
24/02/2021 00:00;BTC/USD;4892733;5145951;4700000;4975400
23/02/2021 00:00;BTC/USD;5417364;5419658;4484572;4888793
22/02/2021 00:00;BTC/USD;5748574;5756419;4740000;5417365
21/02/2021 00:00;BTC/USD;5591975;5835414;5553799;5749291
20/02/2021 00:00;BTC/USD;5600059;5755381;5400000;5593604
19/02/2021 00:00;BTC/USD;5156046;5639999;5062732;5598858
18/02/2021 00:00;BTC/USD;5214123;5256698;5086961;5157954
17/02/2021 00:00;BTC/USD;4913670;5264000;4889619;5217428
16/02/2021 00:00;BTC/USD;4795405;5060253;4703602;4916653
15/02/2021 00:00;BTC/USD;4862048;4904882;4591475;4794257
14/02/2021 00:00;BTC/USD;4725866;4971466;4708102;4866250
13/02/2021 00:00;BTC/USD;4742425;4822000;4613300;4722848
12/02/2021 00:00;BTC/USD;4804488;4900000;4623116;4739584
